REID,street,zipcode,city,state,latitude,longitude,FIPScounty,useCode,taxAssessmentYear,yearBuilt,lotSizeSqFt,finishedSqFt,bathrooms,bedrooms,zestimate,name,type
6817557727000,4424 Old Town Dr,27106,Winston Salem,NC,36.14932,-80.30156,37067,SingleFamily,2018,1967,42688,1616,3.0,3,171903,Windsor Estates,neighborhood
6827480657000,4949 Wilkes Dr,27106,Winston Salem,NC,36.157547,-80.273463,37067,SingleFamily,2018,1941,6534,826,1.0,2,28942,Piney Grove,neighborhood
6856153653000,180 Glasmere Ct,27101,Winston Salem,NC,36.122693,-80.180515,37067,SingleFamily,2018,2004,7840,1480,2.0,3,163404,Winston-Salem,city
6824374695000,1412 Miller St,27103,Winston Salem,NC,36.072364,-80.274033,37067,SingleFamily,2018,1962,12632,1188,1.5,3,167045,Ardmore,neighborhood
6808240904000,5650 Reynolda Rd,27106,Winston Salem,NC,36.174032,-80.348431,37067,SingleFamily,2018,1948,18489,1485,2.0,3,166052,Winston-Salem,city
6823559114000,1443 Bromwich Dr,27127,Winston Salem,NC,36.038085,-80.265337,37067,SingleFamily,2018,2004,10018,1152,2.0,3,138838,Winston-Salem,city
6818009917000,3616 Maverick St,27106,Winston Salem,NC,36.163431,-80.318069,37067,SingleFamily,2018,1968,16988,1470,2.0,3,124974,Georgetown,neighborhood
6845641767000,989 Woodleaf Ct,27107,Winston Salem,NC,36.092693,-80.197609,37067,SingleFamily,2018,1983,12225,1140,2.0,3,120391,Shalimar,neighborhood
6806453726000,4301 Livengood Rd,27106,Winston Salem,NC,36.121426,-80.339681,37067,SingleFamily,2018,1948,27007,1170,1.0,2,103566,Bent Tree Farm,neighborhood
6827247766000,1024 Ranch Dr,27106,Winston Salem,NC,36.146799,-80.277668,37067,SingleFamily,2018,2012,10890,936,4.0,4,141169,Brookwood,neighborhood
6819946681000,5815 Nylon Dr,27105,Winston Salem,NC,36.201215,-80.288987,37067,SingleFamily,2018,1981,23958,894,1.0,2,63379,Summer Trace,neighborhood
6807234448000,4001 Walnut Hill Dr,27106,Winston Salem,NC,36.142538,-80.346424,37067,SingleFamily,2018,1988,43560,2204,2.0,3,237886,Winston-Salem,city
6816772931000,3010 Hope Valley Rd,27106,Winston Salem,NC,36.127768,-80.296083,37067,SingleFamily,2018,1969,15681,2355,2.0,4,206288,Ashlet Forest,neighborhood
6834209689000,3205 Luther St,27127,Winston Salem,NC,36.053586,-80.241604,37067,SingleFamily,2018,1950,9147,858,1.0,2,72903,Konnoak,neighborhood
5896831992000,145 Ashton Place Cir,27106,Winston Salem,NC,36.116138,-80.360379,37067,SingleFamily,2018,1999,11761,2307,3.0,3,341851,Winston-Salem,city
6814975848000,1305 Berwick Rd,27103,Winston Salem,NC,36.072858,-80.287402,37067,SingleFamily,2018,1957,13939,1374,1.5,3,123398,Ardmore,neighborhood
6807364572000,4360 Langhorne Dr,27106,Winston Salem,NC,36.150928,-80.34303,37067,SingleFamily,2018,1996,15681,2442,2.5,4,286049,Chadwyck,neighborhood
6846570820000,3391 New Walkertown Rd,27105,Winston Salem,NC,36.128348,-80.202085,37067,SingleFamily,2018,1957,125452,2401,2.0,3,193236,Winston-Salem,city
6824483329000,1200 Fenimore St,27103,Winston Salem,NC,36.074431,-80.271229,37067,SingleFamily,2018,1966,17424,1809,2.0,3,205120,Ardmore,neighborhood
6816649089000,1060 Kenleigh Cir,27106,Winston Salem,NC,36.117356,-80.296747,37067,SingleFamily,2018,1957,96703,3035,4.0,5,611817,Merrimont,neighborhood
5895323857000,792 Reaford Rd,27104,Winston Salem,NC,36.085608,-80.376288,37067,SingleFamily,2018,1984,20037,2100,2.5,3,226411,Winston-Salem,city
6808584339000,5633 Main St,27040,Pfafftown,NC,36.183657,-80.336958,37067,SingleFamily,2018,1996,30056,2610,3.0,4,247498,Bethania,city
6807388233000,4120 Benton Creek Dr,27106,Winston Salem,NC,36.155685,-80.341941,37067,SingleFamily,2018,1990,17859,2202,2.5,3,233847,Baycreek,neighborhood
5893392777000,284 Cabot Dr,27103,Winston Salem,NC,36.049645,-80.375892,37067,VacantResidentialLand,2018,2011,23522,1978,3.5,3,,Clemmons,city
6805851997000,230 Gloucestershire Rd,27104,Winston Salem,NC,36.094713,-80.326183,37067,SingleFamily,2018,1978,50965,3745,3.5,4,504886,Peace Haven,neighborhood
6807070007000,4455 Alexander Rd,27106,Winston Salem,NC,36.152352,-80.354849,37067,SingleFamily,2018,2003,12,2500,2.5,4,258883,Winston-Salem,city
6834915628000,836 Charles Ct,27107,Winston Salem,NC,36.056554,-80.219546,37067,SingleFamily,2018,1969,9147,1202,1.5,3,74244,Easton,neighborhood
6807482033000,4620 Bay Creek Dr,27106,Winston Salem,NC,36.155137,-80.340546,37067,SingleFamily,2018,1991,10454,2180,4.0,3,243178,Baycreek,neighborhood
5893957684000,1722 Buddy St,27103,Winston Salem,NC,36.038519,-80.353666,37067,SingleFamily,2018,1978,21344,1056,1.5,3,135844,Winston-Salem,city
6824083223000,1230 Magnolia St,27103,Winston Salem,NC,36.073868,-80.284768,37067,SingleFamily,2018,1955,13939,1282,2.0,3,203933,Ardmore,neighborhood
6837961240000,1003 Graystone Dr,27105,Winston Salem,NC,36.151301,-80.222371,37067,SingleFamily,2018,1954,27878,1258,1.0,3,70019,Ogburn Station,neighborhood
6844753529000,1970 Burgoyne Ct,27107,Winston Salem,NC,36.067498,-80.193326,37067,SingleFamily,2018,1961,30927,1692,2.0,3,145707,Flat Rock,neighborhood
6804402269000,511 Brookridge Dr,27103,Winston Salem,NC,36.051459,-80.338758,37067,SingleFamily,2018,1964,13939,1326,1.0,3,124842,Salem Woods,neighborhood
6839001123000,1207 Marlborough Ln,27105,Winston Salem,NC,36.189149,-80.253419,37067,SingleFamily,2018,1956,24393,1756,2.0,3,136652,Pinebrook Country Club,neighborhood
6814859738000,2747 Lullington Dr,27103,Winston Salem,NC,36.067053,-80.289367,37067,SingleFamily,2018,1956,15681,1256,1.5,3,143054,British Woods,neighborhood
6886650396000,325 N Green St,27101,Winston Salem,NC,36.09654,-80.254211,37067,Townhouse,2018,2007,32234,1324,2.0,2,172615,Westend,neighborhood
6838268583000,221 Creeksedge Ct,27105,Winston Salem,NC,36.179484,-80.24388,37067,SingleFamily,2018,1990,14810,1632,2.5,2,150304,Pinebrook Country Club,neighborhood
6818044128000,2620 Oak Grove Cir,27106,Winston Salem,NC,36.172258,-80.319877,37067,SingleFamily,2018,1985,23086,1028,2.0,3,114663,Winston-Salem,city
6817244562000,4020 Winchester Rd,27106,Winston Salem,NC,36.145785,-80.312547,37067,SingleFamily,2018,1968,16552,2462,2.0,3,220618,Town and Country Estates,neighborhood
6804430923000,107 Flintfield Dr,27103,Winston Salem,NC,36.061429,-80.339729,37067,SingleFamily,2018,1962,10454,1694,3.0,3,147285,Salem Woods,neighborhood
6847324229000,3335 Cumberland Rd,27105,Winston Salem,NC,36.140757,-80.20761,37067,SingleFamily,2018,2001,20037,1832,2.0,3,153750,Monticello Park,neighborhood
6824067731000,2464 Silas Creek Pkwy,27103,Winston Salem,NC,36.06953,-80.283311,37067,SingleFamily,2018,1955,21780,1592,1.0,2,147722,Aldbrige,neighborhood
6805169750000,5230 Mountain View Rd,27104,Winston Salem,NC,36.096449,-80.347311,37067,SingleFamily,2018,1993,13068,2153,2.5,4,285729,Mountain View,neighborhood
